service_rh;id_nat_frt;cle_frt_mini;surface_cadastrale;domanial;cadre_legal_gestion;date_expiration_contrat;code_chorus;classement_agricole;type_copropriete;proprio_categorie;proprio_cclient;proprio_mot_dir;libelle_article;libelle_strict;libelle_usage;representant_categorie;representant_cclient;representant_mot_dir;representant_commentaire;representant_lib;representant_cp;representant_commune;regroupement_id_nat_frt;regroupement_libelle;foret_commentaire;departement_majoritaire;date_debut_validite;date_fin_validite
8015;F08846F;26COMMUN;9998.5214;NON;RF;;;MONTAGNE;I;21;21670083100011;CFODAMBACH;des;26 communes;Forêt communale indivise des 26 Communes;42;25670226700012;SYC26CNES;;SYND. INTERCOMMUNAL FORESTIER 26 COMMUNES;67680;EPFIG;;;;67;01/01/1964;31/12/9999
8015;F08281M;ALBE;368.4464;NON;RF;;;MONTAGNE;X;21;21670003900011;CFOALBE;d';albé;Forêt communale d'Albé;2;21670003900011;CFOALBE;;COMMUNE D'ALBE ;67220;ALBE;;;;67;01/01/1964;31/12/9999
8015;F08595O;ALLENWIL;276.9883;NON;RF;;;PLAINE;X;21;20005747900012;CFONSOMMER;d';allenwiller;Forêt communale d'Allenwiller;;20005747900012;CFONSOMMER;Changement de propriétaire et de représentant suite à la création de la nouvelle commune de Sommerau (fusion des communes d'Allenwiler,Salenthal, Singrist et Birkenwald);COMMUNE DE SOMMERAU ;67310;SOMMERAU;;;..;67;01/01/1964;31/12/9999
8015;F08967W;ALTORF;93.2002;NON;RF;;;PLAINE;X;21;21670008800018;CFOALTORF;d';altorf;Forêt communale d'Altorf;2;21670008800018;CFOALTORF;;COMMUNE d'ALTORF ;67120;ALTORF;;;;67;01/01/1964;31/12/9999
8015;F08256N;ANDLAU;166.8304;NON;RF;;;PLAINE;X;21;21670010400013;CFOANDLAU;d';andlau;Forêt communale d'Andlau;2;21670010400013;CFOANDLAU;;COMMUNE d'ANDLAU ;67140;ANDLAU;;;;67;01/01/1964;31/12/9999
8015;F08744H;BALBRONN;116.4661;NON;RF;;;PLAINE;X;21;21670018700018;CFOBALBRON;de;balbronn;Forêt communale de Balbronn;2;21670018700018;CFOBALBRON;;COMMUNE de BALBRONN ;67310;BALBRONN;;;;67;01/01/1964;31/12/9999
8015;F08411M;BAREMBA;719.9005;NON;RF;;;MONTAGNE;X;21;21670020300013;CFOBAREMBA;de;barembach;Forêt communale de Barembach;2;21670020300013;CFOBAREMBA;;COMMUNE de BAREMBACH ;67130;BAREMBACH;;;;67;01/01/1964;31/12/9999
8015;F08861U;BARR;26.645;NON;RF;;;PLAINE;X;21;21670021100016;CFOBARR;de;barr;Forêt communale de Barr;2;21670021100016;CFOBARR;;COMMUNE de BARR ;67140;BARR;;;;67;01/01/1964;31/12/9999
8015;F08314T;BARR4AC;1347.2338;NON;RF;;;PLAINE;I;21;21670021100016;CFOBARR;de;barr et 4 autres communes;Forêt communale indivise de Barr Et 4 Autres Communes;42;25670002200013;SYCBARR4;;SYNDICAT FORESTIER BARR 4AC ;67140;BARR;;;;67;01/01/1964;31/12/9999
8015;F08293Y;BARR6AC;643.6611;NON;RF;;;PLAINE;I;21;21670155700011;CFOGERTWIL;de;barr et 6 autres communes;Forêt communale indivise de Barr Et 6 Autres Communes;42;25670001400010;SYCBARR6;;SYNDICAT FORESTIER BARR 6AC ;67140;BARR;;;;67;01/01/1964;31/12/9999
8015;F08650R;BASSEMBE;38.0251;NON;RF;;;MONTAGNE;X;21;21670022900018;CFOBASSEMB;de;bassemberg;Forêt communale de Bassemberg;2;21670022900018;CFOBASSEMB;;COMMUNE de BASSEMBERG ;67220;BASSEMBERG;;;;67;01/01/1964;31/12/9999
8015;F08412N;BELLEFOS;98.8136;NON;RF;;;MONTAGNE;X;21;21670026000013;CFO67130BE;de;bellefosse;Forêt communale de Bellefosse;2;21670026000013;CFO67130BE;;COMMUNE de BELLEFOSSE ;67130;BELLEFOSSE;;;;67;01/01/1964;31/12/9999
8015;F08331K;BELMONT;105.1839;NON;RF;;;MONTAGNE;X;21;21670027800015;CFO67130;de;belmont;Forêt communale de Belmont;2;21670027800015;CFO67130;;COMMUNE de BELMONT ;67130;BELMONT;;;;67;01/01/1964;31/12/9999
8015;F08260R;BERNARDV;22.2034;NON;RF;;;PLAINE;X;21;21670032800018;CFOBERNARV;de;bernardvillé;Forêt communale de Bernardvillé;2;21670032800018;CFOBERNARV;;COMMUNE de BERNARDVILLE ;67140;BERNARDVILLE;;;;67;01/01/1964;31/12/9999
8015;F08527Y;BISCHOFF;1210.9142;NON;RF;;;PLAINE;X;21;21670045000010;CFOBISCHOF;de;bischoffsheim;Forêt communale de Bischoffsheim;2;21670045000010;CFOBISCHOF;;COMMUNE de BISCHOFFSHEIM ;67870;BISCHOFFSHEIM;;;;67;01/01/1964;31/12/9999
8015;F08436L;BLANCHER;93.3471;NON;RF;;;MONTAGNE;X;21;21670050000012;CFO67130BL;de;blancherupt;Forêt communale de Blancherupt;2;21670050000012;CFO67130BL;;COMMUNE de BLANCHERUPT ;67130;BLANCHERUPT;;;;67;01/01/1964;31/12/9999
8015;F08603W;BLIENSCH;99.655;NON;RF;;;PLAINE;X;21;21670051800014;CFOBLIENSC;de;blienschwiller;Forêt communale de Blienschwiller;2;21670051800014;CFOBLIENSC;;COMMUNE de BLIENSCHWILLER ;67650;BLIENSCHWILLER;;;;67;01/01/1964;31/12/9999
8015;F08466P;BOERSCH;585.1789;NON;RF;;;PLAINE;X;21;21670052600017;CFOBOERSCH;de;boersch;Forêt communale de Boersch;2;21670052600017;CFOBOERSCH;;COMMUNE de BOERSCH ;67530;BOERSCH;;;;67;01/01/1964;31/12/9999
8015;F08691G;BOURGBR;454.2335;NON;RF;;;MONTAGNE;X;21;21670059100011;CFOBOURGBR;de;bourg-bruche;Forêt communale de Bourg-Bruche;2;21670059100011;CFOBOURGBR;;COMMUNE de BOURG-BRUCHE ;67420;BOURG BRUCHE;;;;67;01/01/1964;31/12/9999
8015;F08722L;BREITENA;108.6736;NON;RF;;;MONTAGNE;X;21;21670062500017;CFOBREITEN;de;breitenau;Forêt communale de Breitenau;2;21670062500017;CFOBREITEN;;COMMUNE de BREITENAU ;67220;BREITENAU;;;;67;01/01/1964;31/12/9999
8015;F08862V;BREITENS;749.179;NON;RF;;;MONTAGNE;X;21;21670063300060;CFOBREITEB;de;breitenbach 67;Forêt communale de Breitenbach 67;;21670063300060;CFOBREITEB;;COMMUNE de BREITENBACH ;67220;BREITENBACH;;;;67;01/01/1964;31/12/9999
8015;F08887U;COLROY;378.3903;NON;RF;;;MONTAGNE;X;21;21670076500011;CFO67420CO;de;colroy-la-roche;Forêt communale de Colroy-La-Roche;2;21670076500011;CFO67420CO;;COMMUNE de COLROY LA ROCHE ;67420;COLROY LA ROCHE;;;;67;01/01/1964;31/12/9999
8015;F08730T;COSTNABO;29.24;NON;RF;;;PLAINE;X;21;21670428800010;CFO67530SA;de;saint-nabor;Forêt communale de Saint-Nabor;2;21670428800010;CFO67530SA;;COMMUNE de SAINT-NABOR ;67530;SAINT-NABOR;;;;67;01/01/1964;31/12/9999
8015;F08430F;DAMBACMO;720.1234;NON;RF;;;PLAINE;X;21;21670084900013;CFODAMBACL;de;dambach-la-ville montagne;Forêt communale de Dambach-La-Ville Montagne;2;21670084900013;CFODAMBACL;;COMMUNE de DAMBACH-LA-VILLE ;67650;DAMBACH-LA-VILLE;;;;67;01/01/1964;31/12/9999
8015;F08641I;DAMBACPL;206.3447;NON;RF;;;PLAINE;X;21;21670084900013;CFODAMBACL;de;dambach-la-ville plaine;Forêt communale de Dambach-La-Ville Plaine;2;21670084900013;CFODAMBACL;;COMMUNE de DAMBACH-LA-VILLE ;67650;DAMBACH-LA-VILLE;;;;67;01/01/1964;31/12/9999
8015;F08271C;DANDLAUL;310.1751;OUI;RF;;172893/343681;;X;1;11007001800012;MINAGRI;d';andlau-lilsbach;Forêt domaniale d'Andlau-Lilsbach;1;66204311600018;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O.N.F.;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8015;F08322B;DANGOLS;19.5024;NON;RF;;;PLAINE;X;21;21670085600018;CFODANGOLS;de;dangolsheim;Forêt communale de Dangolsheim;2;21670085600018;CFODANGOLS;;COMMUNE de DANGOLSHEIM ;67310;DANGOLSHEIM;;;;67;01/01/1964;31/12/9999
8015;F08837W;DBERNSTE;209.0255;OUI;RF;;172979/344417;;X;1;11007001800012;MINAGRI;de;bernstein;Forêt domaniale de Bernstein;1;66204311600018;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O.N.F.;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
