SERVICE_RH;ID_NAT_FRT;CLE_FRT_MINI;SURFACE_CADASTRALE;DOMANIAL;CADRE_LEGAL_GESTION;DATE_EXPIRATION_CONTRAT;CODE_CHORUS;CLASSEMENT_AGRICOLE;TYPE_COPROPRIETE;PROPRIO_CATEGORIE;PROPRIO_CCLIENT;PROPRIO_MOT_DIR;LIBELLE_ARTICLE;LIBELLE_STRICT;LIBELLE_USAGE;REPRESENTANT_CATEGORIE;REPRESENTANT_CCLIENT;REPRESENTANT_MOT_DIR;REPRESENTANT_COMMENTAIRE;REPRESENTANT_LIB;REPRESENTANT_CP;REPRESENTANT_COMMUNE;REGROUPEMENT_ID_NAT_FRT;REGROUPEMENT_LIBELLE;FORET_COMMENTAIRE;DEPARTEMENT_MAJORITAIRE;DATE_DEBUT_VALIDITE;DATE_FIN_VALIDITE
8015;F08897E;WASSELON;388,6391;NON;RF;;;PLAINE;X;21;2,16705E+13;CFOWASSELO;de;wasselonne;Forêt communale de Wasselonne;2;2,16705E+13;CFOWASSELO;;COMMUNE de WASSELONNE ;67310;WASSELONNE;;;;67;01/01/1964;31/12/9999
8015;F08640H;WESTHOFF;928,9442;NON;RF;;;PLAINE;X;21;2,16705E+13;CFOWESTHOF;de;westhoffen;Forêt communale de Westhoffen;2;2,16705E+13;CFOWESTHOF;;COMMUNE de WESTHOFFEN ;67310;WESTHOFFEN;;;;67;01/01/1964;31/12/9999
8015;F08795G;WILDERS;210,806;NON;RF;;;MONTAGNE;X;21;2,16705E+13;CFOWILDERS;de;wildersbach;Forêt communale de Wildersbach;2;2,16705E+13;CFOWILDERS;;COMMUNE de WILDERSBACH ;67130;WILDERSBACH;;;;67;01/01/1964;31/12/9999
8015;F08660B;WISCHES;1514,6442;NON;RF;;;MONTAGNE;X;21;2,16705E+13;CFOWISCHES;de;wisches;Forêt communale de Wisches;2;2,16705E+13;CFOWISCHES;;COMMUNE DE WISCHES ;67130;WISCHES;;;;67;01/01/1964;31/12/9999
8015;F08516N;ZEHNACKE;0;NON;NG;;;PLAINE;X;21;2,16706E+13;CFOZEHNACK;de;zehnacker;Forêt communale de Zehnacker;2;2,16706E+13;CFOZEHNACK;;COMMUNE de ZEHNACKER ;67310;ZEHNACKER;;;;67;01/01/1964;31/12/9999
8020;F08259Q;0DL;635,6258;OUI;RF;;173449/342286;;X;1;1,1007E+13;MINAGRI;des;deux lacs;Forêt domaniale des Deux Lacs;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;68;01/01/1964;31/12/9999
8020;F08560F;0RI;1491,1391;OUI;RF;;172776/347926;;X;1;1,1007E+13;MINAGRI;de;ribeauvillé;Forêt domaniale de Ribeauvillé;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;68;01/01/1964;31/12/9999
8020;F08689E;0SP;181,6559;OUI;RF;;173469/344262;;X;1;1,1007E+13;MINAGRI;de;saint-pierremont;Forêt domaniale de Saint-Pierremont;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;68;01/01/1964;31/12/9999
8020;F08340T;ALGOLSHE;14,3707;NON;RF;;;PLAINE;X;21;2,168E+13;CFOALGOLSH;d';algolsheim;Forêt communale d'Algolsheim;2;2,168E+13;CFOALGOLSH;;COMMUNE de ALGOLSHEIM ;68600;ALGOLSHEIM;;;;68;01/01/1964;31/12/9999
8020;F08853M;AMM;1065,8809;NON;RF;;;PLAINE;X;21;2,168E+13;CFOAMMERSC;d';ammerschwihr;Forêt communale d'Ammerschwihr;2;2,168E+13;CFOAMMERSC;;COMMUNE d'AMMERSCHWIHR ;68770;AMMERSCHWIHR;;;;68;01/01/1964;31/12/9999
8020;F08878L;ANDOLSHE;90,229;NON;RF;;;PLAINE;X;21;2,168E+13;CFOANDOLSH;d';andolsheim;Forêt communale d'Andolsheim;2;2,168E+13;CFOANDOLSH;;COMMUNE de ANDOLSHEIM ;68280;ANDOLSHEIM;;;;68;01/01/1964;31/12/9999
8020;F08847G;APPENWIH;45,5147;NON;RF;;;PLAINE;X;21;2,168E+13;CFOAPPENWI;d';appenwihr;Forêt communale d'Appenwihr;2;2,168E+13;CFOAPPENWI;;COMMUNE de APPENWIHR ;68280;APPENWIHR;;;;68;01/01/1964;31/12/9999
8020;F08517O;ARTOLSHE;230,5173;NON;RF;;;PLAINE;X;21;2,167E+13;CFOARTOLSH;d';artolsheim;Forêt communale d'Artolsheim;2;2,167E+13;CFOARTOLSH;;COMMUNE d'ARTOLSHEIM ;67390;ARTOLSHEIM;;;;67;01/01/1964;31/12/9999
8020;F08401C;ARTZENHE;117,9488;NON;RF;;;PLAINE;X;21;2,168E+13;CFOARTZENH;d';artzenheim;Forêt communale d'Artzenheim;2;2,168E+13;CFOARTZENH;;COMMUNE d'ARTZENHEIM ;68320;ARTZENHEIM;;;;68;01/01/1964;31/12/9999
8020;F08602V;AUB;325,3058;NON;RF;;;MONTAGNE;X;21;2,168E+13;CFOAUBURE;d';aubure;Forêt communale d'Aubure;;2,168E+13;CFOAUBURE;;COMMUNE d'AUBURE ;68150;AUBURE;;;;68;01/01/1964;31/12/9999
8020;F08440P;BALGAU;62,3144;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBALGAU;de;balgau;Forêt communale de Balgau;2;2,168E+13;CFOBALGAU;;COMMUNE de BALGAU ;68740;BALGAU;;;;68;01/01/1964;31/12/9999
8020;F08270B;BALTZENH;176,6778;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBALTZEN;de;baltzenheim;Forêt communale de Baltzenheim;2;2,168E+13;CFOBALTZEN;;COMMUNE de BALTZENHEIM ;68320;BALTZENHEIM;;;;68;01/01/1964;31/12/9999
8020;F08921C;BEB;75,9135;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBEBLENH;de;beblenheim;Forêt communale de Beblenheim;2;2,168E+13;CFOBEBLENH;;COMMUNE de BEBLENHEIM ;68980;BEBLENHEIM;;;;68;01/01/1964;31/12/9999
8020;F09010N;BEN;62,2413;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBENNWIH;de;bennwihr;Forêt communale de Bennwihr;2;2,168E+13;CFOBENNWIH;;COMMUNE de BENNWIHR ;68630;BENNWIHR;;;;68;01/01/1964;31/12/9999
